Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
ACX8999,Pesado,DUCATO CARGO 2.8 CURTO/LONGO TB DIESEL,FIAT DUCATO,FIAT DUCATO
ASU8677,Kombi,KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXA7630,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXH4H84,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXV6J76,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
BAJ7268,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160,CAMINHÃO 3/4
BAJ7269,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160,CAMINHÃO 3/4
BAV9082,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BAV9112,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BBH4B56,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BBS1662,Pesado,SPRINTER 311 STREET STD. 2.2 16LUG. DIES,MB SPRINTER,MB SPRINTER
BBV7271,Pesado,SPRINTER 313 FURGÃO LONGO 2.2 129CV DIES,MB SPRINTER,MB SPRINTER
BBW0C96,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BBX3631,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER,MB SPRINTER
BCC9492,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL
BCC9519,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL
BCH3095,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCI3G04,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCJ2731,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCJ7J75,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCJ9B46,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCN5C73,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C75,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C76,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C78,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN8I58,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER,MB SPRINTER
BCN9F78,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCO1B96,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCP6661,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ3258,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ3293,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ7135,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7150,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7154,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7156,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7158,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7519,Pesado,DUCATO CARGO CURTO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BCQ7B44,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7B49,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7B53,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7B55,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCS8D11,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCS8D34,Pesado,DUCATO CHASSI 2.3 16V DIESEL,FIAT DUCATO CHASSI,FIAT DUCATO
BCS8D41,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCS8D48,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCS8E03,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCS8F03,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCS8F15,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BCS8J35,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCT9F37,Pesado,DUCATO CARGO MÉDIO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BCV8D45,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCV8D47,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCV9J79,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCX6C13,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCY4D22,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCY4D56,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCY5F19,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO BITRUCK
BCY8C39,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BCY8J01,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCY8J02,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCY8J17,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCY8J18,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ3J21,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BCZ3J22,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ3J23,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ7B03,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ8J97,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
BDC6I45,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC6I49,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC6I51,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC7G72,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC9J75,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J76,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDC9J78,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J79,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J82,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J83,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
BDC9J85,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J86,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD0B32,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD0B37,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD0B38,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD3B63,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD3B65,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD3B67,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD3B68,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD3B71,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD3B73,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD4A12,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDD4A14,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
BDD6E16,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDD6E20,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDD6F94,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD6J41,Moto,CG 160 FAN ESDI FLEXONE,CG 160,MOTO CG
BDE1E73,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDE2G99,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H14,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H17,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H29,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE6J88,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDF4I79,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDF6H37,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDF6H38,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
